type,name,latitude,longitude
Load Node,KERMAN_6_N001,36.6921,-120.06
Generation Node,PINEFLT_2_B1,36.84,-119.32
Generation Node,PINEFLT_7_B1,36.83,-119.31
Generation Node,PINEFLT_7_B3,36.83,-119.31
Generation Node,PINEFLT_7_B4,36.83,-119.31
Generation Node,HAAS_7_B1,36.95,-119
Generation Node,HAAS_7_B11,36.95,-119
Generation Node,BALCH_2_B1,36.92,-119.13
Generation Node,HAAS_2_B1,36.94,-119.01
Generation Node,BALCH3TP_2_B1,36.92,-119.12
Load Node,GIFFEN_6_N001,36.5451,-120.33
Generation Node,BLCH38751_7_B1,36.93,-119.12
Generation Node,BLCH38750_7_B1,36.92,-119.13
Load Node,SANJOQN_6_N001,36.621,-120.18
Load Node,SANJOQN_6_N006,36.621,-120.18
Load Node,STROUD_6_N001,36.5309,-120.1
Load Node,CAMDEN_6_N001,36.4463,-119.8
Load Node,CAMDEN_6_N002,36.4463,-119.8
Load Node,WSTFRSO_1_N001,36.7184,-119.82
Load Node,WSTFRSO_1_N004,36.7184,-119.82
Load Node,STONCRRL_6_N001,36.4723,-119.19
Load Node,STONCRRL_6_N003,36.4723,-119.19
Load Node,MCCALL_1_N026,36.6114,-119.64
Load Node,MCCALL_1_N030,36.6114,-119.64
Generation Node,MCCALL_1_N093,36.6114,-119.64
Load Node,DUNLAP_6_N001,36.645,-119.16
Load Node,DINUBA_6_N001,36.52,-119.39
Load Node,DINUBA_6_N005,36.52,-119.39
Load Node,ANGIOLA_6_N001,35.992,-119.57
Load Node,OROSI_6_N001,36.5448,-119.25
Load Node,OROSI_6_N006,36.5448,-119.25
Load Node,SANDCRK_6_N001,36.645,-119.16
Load Node,WAHTOKE_1_N001,36.6162,-119.45
Load Node,WAHTOKE_1_N002,36.6162,-119.45
Load Node,TVYVLLY_6_N001,36.7706,-119.39
Load Node,GRDNWEST_1_N001,36.59,-119.57
Load Node,GRDNEAST_1_N101,36.48,-119.61
Load Node,GRDNEAST_1_N102,36.48,-119.61
Generation Node,DINUBAE_7_B2,36.52,-119.39
Load Node,DINUBAE_7_N001,36.52,-119.39
Load Node,AIRPROD_1_N001,36.65,-119.54
Generation Node,ULTPWRJ_1_N001,36.66,-119.63
Load Node,REEDLEY_6_N001,36.6051,-119.38
Load Node,RANCHRS_1_N001,36.7008,-119.75
Load Node,REEDLEY_1_N001,36.6051,-119.38
Load Node,SCWAX_1_N001,36.7008,-119.75
Load Node,BOSWELL_6_N001,36.0851,-119.55
Generation Node,MALAGA_1_B1,36.69,-119.58
Load Node,MALAGA_1_N001,36.6941,-119.72
Load Node,MALAGA_1_N004,36.6941,-119.72
Load Node,MALAGA_1_N005,36.6941,-119.72
Load Node,MALAGA_1_N206,36.6941,-119.72
Load Node,CORCORAN_1_N001,36.1096,-119.56
Load Node,CORCORAN_1_N005,36.1096,-119.56
Load Node,HARDWICK_6_N001,36.4043,-119.69
Load Node,CALAVE_1_N001,36.7189,-119.77
Load Node,CALAVE_1_N002,36.7189,-119.77
Load Node,CALAVE_1_N004,36.7189,-119.77
Load Node,DANISHCM_1_N001,36.7189,-119.77
Load Node,KINGSBRG_1_N001,36.5,-119.59
Load Node,KINGSBRG_1_N008,36.5,-119.59
Generation Node,SANGERCO_7_B1,36.7071,-119.61
Load Node,RAINBOW_1_N001,36.71,-119.54
Load Node,SANGER_1_N001,36.7071,-119.61
Generation Node,KINGSRIV_7_B1,36.87,-119.13
Load Node,CLOVIS_1_N001,36.826,-119.68
Load Node,CLOVIS_1_N101,36.826,-119.68
Load Node,CLOVIS_1_N004,36.826,-119.68
Load Node,LASPALMS_1_N001,36.8,-119.69
Generation Node,KERCKHOF_7_B1,37.07,-119.58
Load Node,OAKHURST_1_N001,37.3238,-119.63
Load Node,OAKHURST_1_N002,37.3238,-119.63
Load Node,CORSGOLD_1_N001,37.2275,-119.69
Load Node,CORSGOLD_1_N003,37.2275,-119.69
Load Node,BARTON_1_N001,36.764,-119.74
Load Node,BARTON_1_N007,36.764,-119.74
Load Node,BARTON_1_N008,36.764,-119.74
Load Node,MANCHSTR_1_N001,36.788,-119.79
Load Node,MANCHSTR_1_N002,36.788,-119.79
Load Node,MANCHSTR_1_N005,36.788,-119.79
Load Node,WOODWARD_1_N001,36.8966,-119.75
Load Node,WOODWARD_1_N005,36.8966,-119.75
Load Node,WOODWARD_1_N006,36.8966,-119.75
Load Node,SHARON_1_N001,37.0973,-120.16
Load Node,CONTADNA_1_N001,36.29,-119.71
Generation Node,CHWCHLLA_1_B1,37.12,-120.23
Load Node,CHWCHLLA_1_N001,37.1208,-120.25
Load Node,CHWCHLLA_1_N002,37.1208,-120.25
Load Node,CERTTEED_1_N001,37.06,-120.08
Load Node,CERTTEED_1_N002,37.06,-120.08
Generation Node,CHOWCOGN_7_N001,37.1208,-120.25
Load Node,CHLDHOSP_1_N001,36.87,-119.81
Load Node,INDNFLT_6_N001,37.6655,-119.84
Load Node,MARIPOS2_6_N001,37.5045,-120.01
Load Node,MARIPOS2_6_N003,37.5045,-120.01
Load Node,LEGRAND_1_N001,37.1844,-120.27
Load Node,BERVLLY_6_N001,37.5865,-120.13
Generation Node,EXCHQRTP_7_B1,37.6,-120.28
Generation Node,EXCHQUER_7_B1,37.59,-120.29
Load Node,DAIRYLND_1_N001,37.0552,-120.32
Load Node,BULLARD_1_N001,36.8244,-119.77
Load Node,BULLARD_1_N004,36.8244,-119.77
Load Node,BULLARD_1_N005,36.8244,-119.77
Load Node,BULLARD_1_N006,36.8244,-119.77
Generation Node,BULLARD_1_N009,36.8244,-119.77
Load Node,AUBERRY_6_N001,37.0681,-119.5
Load Node,AUBERRY_6_N003,37.0681,-119.5
Load Node,PNEDLE_1_N002,36.83,-119.83
Load Node,PNEDLE_1_N001,36.83,-119.83
Load Node,MERCEDFL_7_N001,37.2728,-120.49
Generation Node,MERCEDFL_7_N002,37.2728,-120.49
Load Node,BIOLA_6_N001,36.7925,-120.11
Load Node,RIVERROC_6_N001,36.9026,-119.77
Load Node,NEWHALL_1_N001,36.8672,-120.33
Load Node,NEWHALL_1_N002,36.8672,-120.33
Load Node,BARRE_6_N001,33.8091,-117.98
Load Node,BARRE_6_N002,33.8091,-117.98
Load Node,BARRE_6_N003,33.8091,-117.98
Generation Node,BARRE_2_N043,33.8091,-117.98
Load Node,BONITA_6_N001,36.9679,-120.2
Load Node,ASHLAN_2_N008,36.7926,-119.83
Load Node,ASHLAN_2_N001,33.1365,-117.07
Load Node,ASHLAN_2_N007,33.1365,-117.07
Load Node,FIGARDN_2_N001,36.822,-119.86
Load Node,FIGARDN_2_N101,36.822,-119.86
Generation Node,HELMS1_7_B1,36.5912,-120.18
Generation Node,HELMS2_7_B1,36.5912,-120.18
Generation Node,HELMS3_7_B1,36.5912,-120.18
Generation Node,GREGG_2_B1,36.86,-119.93
Load Node,BORDEN_2_N007,36.9223,-119.98
Generation Node,BORDEN_2_N008,36.9223,-119.98
Generation Node,BORDEN_2_N009,36.9223,-119.98
Load Node,KERMAN_6_N002,36.6921,-120.06
Load Node,ELLIS_6_N001,37.7165,-121.55
Generation Node,ELLIS_6_N003,37.7165,-121.55
Load Node,ELLIS_6_N105,37.7165,-121.55
Load Node,STOREY2_2_N001,36.9828,-120.03
Generation Node,ELLIS_2_B1,33.68,-117.94
Generation Node,HUNT1G_7_B1,33.6461,-117.98
Load Node,HUNT1G_7_N002,33.64,-117.96
Generation Node,HUNT3G_7_B1,33.6461,-117.98
Load Node,HUNT3G_7_N002,33.64,-117.97
Generation Node,HUNT4G_7_B1,33.6461,-117.98
Load Node,HUNT4G_7_N002,33.66,-117.97
Generation Node,HUNT2G_7_B1,33.6461,-117.98
Load Node,HUNT2G_7_N002,33.66,-117.97
Load Node,BOWLES_6_N001,36.6057,-119.77
Load Node,CARUTHRS_6_N001,36.5316,-119.88
Load Node,JOHANNA_2_N001,33.7136,-117.85
Load Node,JOHANNA_2_N007,33.7136,-117.85
Generation Node,JOHANNA_2_N013,33.7136,-117.85
Load Node,KEARNEY_6_N001,36.7044,-119.88
Load Node,KEARNEY_6_N099,36.7044,-119.88
Load Node,STOREY1_2_N001,36.9828,-120.03
Generation Node,STOREY1_2_N003,36.9828,-120.03
Generation Node,ALAMT5G_7_B1,33.7716,-118.1
Generation Node,ALAMT1G_7_B1,33.7716,-118.1
Load Node,ALAMT5G_7_N002,33.7716,-118.1
Generation Node,ALAMT6G_7_B1,33.7716,-118.1
Load Node,ALAMT6G_7_N002,33.7716,-118.1
Load Node,ALAMT1G_7_N002,33.7716,-118.1
Generation Node,ALAMT2G_7_B1,33.7716,-118.1
Load Node,ALAMT2G_7_N002,33.7716,-118.1
Load Node,ALAMITOS_2_N001,33.7716,-118.1
Load Node,ALAMITOS_2_N040,33.77,-118.1
Generation Node,ALAMT4G_7_B1,33.7716,-118.1
Load Node,ALAMT4G_7_N002,33.7716,-118.1
Generation Node,ALAMT3G_7_B1,33.7716,-118.1
Load Node,ALAMT3G_7_N002,33.7716,-118.1
Load Node,MENDOTA_1_N008,36.7208,-120.46
Load Node,GALLO_1_N001,37.3633,-120.76
Generation Node,SANTIAGO_6_N004,33.6651,-117.77
Load Node,LIVNGSTN_1_N001,37.3633,-120.76
Load Node,RECTOR_6_N001,36.2985,-119.24
Generation Node,RECTOR_6_N004,36.2985,-119.24
Generation Node,RECTOR_6_N007,36.2985,-119.24
Generation Node,RECTOR_6_N008,36.2985,-119.24
Generation Node,RECTOR_6_N009,36.2985,-119.24
Load Node,CRESSEY_1_N001,37.4285,-120.64
Generation Node,CRESSEY_1_N003,37.4285,-120.64
Load Node,JRWOOD_1_N001,37.37,-120.64
Generation Node,JRWDGEN_1_N001,37.37,-120.63
Load Node,ATWATER_1_B2,37.36,-120.61
Load Node,ATWATER_1_N001,37.36,-120.61
Load Node,MERCED_1_N002,37.2728,-120.49
Load Node,MERCED_1_N001,37.2728,-120.49
Load Node,ELCAPTN_1_N004,37.3358,-120.51
Load Node,ELCAPTN_1_N005,37.3655,-120.58
Load Node,ELCAPTN_1_N001,37.3358,-120.51
Load Node,ELNIDO_1_N001,33.8962,-118.37
Load Node,ELNIDO_1_N004,37.1206,-120.47
Load Node,DELAMO_2_N001,33.8483,-118.1
Load Node,DELAMO_2_N014,33.8483,-118.1
Load Node,DELAMO_2_N022,33.8483,-118.1
Load Node,WILSONAB_1_N001,37.2908,-120.41
Load Node,VESTAL_6_N001,35.857,-119.09
Generation Node,VESTAL_6_N002,35.857,-119.09
Generation Node,VESTAL_6_N004,35.857,-119.09
Generation Node,VESTAL_6_N006,35.857,-119.09
Load Node,HINSON_6_N001,33.8189,-118.22
Generation Node,LBEACH1G_7_N001,33.8189,-118.22
Generation Node,LBEACH2G_7_N001,33.8189,-118.22
Load Node,LBEACH2G_7_N002,33.82,-118.21
Generation Node,LBEACH3G_7_N001,33.8189,-118.22
Generation Node,LBEACH4G_7_N001,33.8189,-118.22
Generation Node,SERRFGEN_7_B1,33.8189,-118.22
Generation Node,CARBOGEN_7_B1,33.8189,-118.22
Generation Node,HINSON_2_B1,33.84,-118.23
Generation Node,HARBORG_7_B2,33.77,-118.25
Generation Node,HARBORG_7_B3,33.77,-118.25
Generation Node,HARBORG_7_B4,33.77,-118.25
Load Node,HARBORG_7_N101,33.77,-118.25
Generation Node,ICEGEN_7_B1,33.8805,-118.18
Load Node,LITEHIPE_6_N001,33.8805,-118.18
Generation Node,LITEHIPE_6_N006,33.8805,-118.18
Load Node,LITEHIPE_6_N008,33.8805,-118.18
Load Node,MCMULLN1_2_N001,36.5928,-119.99
Generation Node,ARCO1G_7_B1,33.8175,-118.24
Load Node,LCIENEGA_6_N001,34.0008,-118.38
Load Node,CENTERS_6_N001,33.9288,-118.11
Generation Node,CENTERS_6_N004,33.9288,-118.11
Load Node,CENTERS_6_N200,33.9288,-118.11
Generation Node,CTRPKGEN_7_B1,33.9288,-118.11
Load Node,LAFRESA_6_N001,33.8697,-118.33
Generation Node,LAFRESA_6_N003,33.8697,-118.33
Load Node,LAFRESA_6_N007,33.8697,-118.33
Load Node,ELNIDO_2_N001,37.1206,-120.47
Load Node,ELNIDO_2_N012,33.8962,-118.37
Generation Node,ELSEG3G_7_B1,33.9085,-118.42
Generation Node,ELSEG4G_7_B1,33.9085,-118.42
Generation Node,ELSEGNDO_2_B1,33.9,-118.42
Generation Node,REDON5G_7_B1,33.8526,-118.39
Generation Node,REDON6G_7_B1,33.8526,-118.39
Generation Node,REDON7G_7_B1,33.8526,-118.39
Generation Node,REDON8G_7_B1,33.8526,-118.39
Load Node,LAGUBELL_6_N001,33.9759,-118.15
Generation Node,LAGUBELL_6_N005,33.9759,-118.15
Load Node,LAGUBELL_6_N210,33.9759,-118.15
Load Node,MCDISLE_6_N001,37.937,-121.53
Generation Node,LAGUBELL_2_B1,33.98,-118.15
Generation Node,VELASCO_2_N100,34,-118.09
Generation Node,EASTWOOD_7_B1,37.1441,-119.27
Load Node,BIGCRK1_7_N001,37.2021,-119.24
Generation Node,BCRK1-2_1_N003,37.2021,-119.24
Generation Node,BCRK1-2_1_N004,37.2021,-119.24
Generation Node,BIGCRK1_2_B1,37.2,-119.24
Generation Node,BIGCRK2_2_B1,37.21,-119.32
Generation Node,BIGCRK8_2_B1,37.18,-119.25
Generation Node,BIGCRK3_2_B1,37.14,-119.39
Generation Node,MAMOTH1G_7_B1,37.23,-119.35
Generation Node,MAMOTH2G_7_B1,37.23,-119.33
Generation Node,BCRK4_7_B1,37.13,-119.5
Generation Node,BCRK4_7_B3,37.13,-119.5
Generation Node,BIGCRK4_2_B1,37.14,-119.49
Load Node,MESACAL_6_N001,34.0375,-118.11
Generation Node,MESACAL_6_N004,34.0355,-118.11
Load Node,WILKINS_6_N001,39.0055,-121.87
Generation Node,MELONES_2_N014,37.949,-120.52
Load Node,MDLRIVR_6_N001,37.937,-121.53
Load Node,SANMRCOS_6_N001,33.1288,-117.2
Load Node,SANMRCOS_6_N007,33.1288,-117.2
Load Node,SANMRCOS_6_N011,33.1288,-117.2
Generation Node,SANMRCOS_6_N012,33.1288,-117.2
Load Node,JAPMESA_6_N001,33.3743,-117.55
Load Node,JAPMESA_6_N007,33.3743,-117.55
Load Node,CRSTNTS_6_N001,33.4634,-117.57
Load Node,RIOHONDO_6_N001,34.1061,-117.98
Generation Node,RIOHONDO_6_N004,34.1061,-117.98
Generation Node,RIOHONDO_6_N007,34.1061,-117.98
Load Node,GUALALA_6_N001,38.7867,-123.52
Load Node,OTTER_6_N001,36.4778,-121.73
Load Node,LEMOORE_6_N002,36.31,-119.8
Load Node,LEMOORE_6_N101,36.31,-119.8
Generation Node,WARNERVL_2_B1,37.74,-120.8
Generation Node,WARNERVL_2_B2,37.74,-120.8
Load Node,HOOPA_6_N001,41.0565,-123.68
Load Node,LAGNANL_1_N001,33.4949,-117.7
Load Node,LAGNANL_1_N002,33.4949,-117.7
Load Node,LAGNANL_1_N005,33.4949,-117.7
Load Node,LAGNANL_1_N006,33.4949,-117.7
Load Node,COTTLE_7_N001,37.7726,-120.83
Generation Node,COTTLE_7_N002,37.7726,-120.83
Load Node,CAPSTRNO_1_N001,33.5129,-117.67
Load Node,CAPSTRNO_1_N006,33.5129,-117.67
Generation Node,CAPSTRNO_1_N016,33.5129,-117.67
Load Node,COTTLEA_2_N001,37.7726,-120.83
Load Node,TRABUCO_1_N001,33.563,-117.67
Load Node,TRABUCO_1_N005,33.563,-117.67
Load Node,TRABUCO_1_N009,33.563,-117.67
Load Node,TRABUCO_1_N013,33.563,-117.67
Load Node,LINDEN_6_N101,38.0169,-121.1
Load Node,MARGARTA_1_N009,33.55,-117.63
Load Node,MARGARTA_1_N001,33.55,-117.63
Load Node,MARGARTA_1_N002,33.55,-117.63
Load Node,MARGARTA_1_N008,33.55,-117.63
Load Node,JCBSCRNR_6_N001,36.2225,-119.78
Load Node,JCBSCRNR_6_N003,36.2225,-119.78
Load Node,HERDLYN_6_N001,37.8164,-121.59
Load Node,CALISTGA_6_N001,38.5927,-122.58
Load Node,FIREBAGH_6_N001,36.8507,-120.47
Load Node,OLINDA_6_N001,33.9461,-117.92
Generation Node,OLINDA_6_N002,33.9461,-117.92
Generation Node,OLINDA_6_N004,33.9461,-117.92
Generation Node,OLINDA_6_N007,33.9461,-117.92
Load Node,MELROSE_6_N001,33.2065,-117.25
Load Node,MELROSE_6_N004,33.2065,-117.25
Load Node,MELROSE_6_N005,33.2065,-117.25
Load Node,MELROSE_6_N009,33.2065,-117.25
Load Node,SANMATEO_1_N001,37.5833,-122.32
Load Node,SANMATEO_1_N009,37.5833,-122.32
Load Node,HORNO_6_N001,33.3783,-117.46
Load Node,LASPULGS_6_N001,37.4629,-122.23
Load Node,WALNUT_6_N001,34.0085,-117.95
Generation Node,WALNUT_6_N007,34.0085,-117.95
Generation Node,WALNUT_6_N008,34.0085,-117.95
Load Node,PICO_1_N001,33.4568,-117.59
Load Node,PICO_1_N004,33.4568,-117.59
Load Node,MUSLSLGH_6_N001,36.2645,-119.91
Load Node,LAURELES_6_N001,36.4778,-121.73
Generation Node,HILLGEN_7_B1,34.0085,-117.95
Load Node,BIXLER_6_N001,37.937,-121.53
Load Node,KEARNEY_7_N001,36.7044,-119.88
Generation Node,GWFGT1_7_B1,36.2416,-119.9
Generation Node,GWFGT2_7_B1,36.2416,-119.9
Load Node,HENRITTA_6_N101,36.2416,-119.9
Load Node,CURTIS1_7_N001,37.9749,-120.32
Generation Node,SONOFR2_7_B1,33.3697,-117.55
Generation Node,SONOFR3_7_B1,33.3693,-117.55
Load Node,SONOFRE_2_N001,33.3697,-117.55
Load Node,SONOFRE_2_N067,33.3697,-117.55
Generation Node,CURTISS_1_N010,37.9749,-120.32
Load Node,CURTISS_1_N101,37.9749,-120.32
Generation Node,FBERBORD_1_N001,37.97,-120.3
Load Node,ENCNITAS_6_N001,33.0506,-117.29
Load Node,ENCNITAS_6_N004,33.0506,-117.29
Load Node,ENCNITAS_6_N011,33.0506,-117.29
Load Node,ANNAPOLS_6_N001,38.6803,-123.31
Load Node,AVOCADO_6_N001,33.3847,-117.24
Load Node,AVOCADO_6_N002,33.3847,-117.24
Generation Node,KEARNEY_7_B3,36.7044,-119.88
Load Node,KEARNEY_7_N003,32.8329,-117.13
Load Node,MI-WUK_1_N001,38.0527,-120.22
Load Node,RICE_6_N002,39.4028,-122.01
Load Node,RICE_6_N101,39.4028,-122.01
Generation Node,SPRINGVL_6_N004,36.1058,-118.94
Generation Node,SPRINGVL_6_N002,36.1058,-118.94
Generation Node,SPRINGVL_6_N006,36.1058,-118.94
Load Node,SPRINGVL_6_N001,36.1058,-118.94
Load Node,MESARIM_6_N001,32.9049,-117.17
Load Node,MESARIM_6_N007,32.9049,-117.17
Load Node,MESARIM_6_N008,32.9049,-117.17
Load Node,MESARIM_6_N012,32.9049,-117.17
Load Node,GOULD_2_N001,34.2215,-118.19
Load Node,GOULD_2_N007,34.2215,-118.19
Load Node,FROGTOWN_7_N001,38.0565,-120.53
Generation Node,FROGTOWN_7_N003,38.0565,-120.53
Load Node,COLUSA_6_N001,39.2136,-122
Load Node,COLUSA_6_N004,39.2136,-122
Load Node,RTRACK_1_N001,37.9797,-120.41
Load Node,MONSRATE_6_N001,33.3291,-117.24
Load Node,MONSRATE_6_N007,33.3291,-117.24
Load Node,ARBUCKLE_6_N001,39.0176,-122.06
Load Node,LIVNGSTN_6_N001,37.3633,-120.76
Load Node,UCM_6_N001,32.8836,-117.22
Load Node,UCM_6_N002,32.8836,-117.22
Load Node,UCM_6_N006,32.8836,-117.22
Load Node,LAJOLLA_6_N001,32.8401,-117.28
Load Node,LAJOLLA_6_N007,32.8401,-117.28
Load Node,GENESEE_6_N001,32.8797,-117.21
Load Node,GENESEE_6_N005,32.8797,-117.21
Load Node,GENESEE_6_N011,32.8797,-117.21
Load Node,GENESEE_6_N015,32.8797,-117.21
Load Node,PENDLETN_6_N001,33.3093,-117.34
Load Node,PENDLETN_6_N004,33.3093,-117.34
Load Node,STUART_6_N001,33.2567,-117.42
Load Node,OWNBRKWY_1_N001,37.72,-122.22
Load Node,TOREYPNS_6_N001,32.8987,-117.24
Load Node,TOREYPNS_6_N007,32.8987,-117.24
Load Node,TOREYPNS_6_N008,32.8987,-117.24
Load Node,TOREYPNS_6_N009,32.8987,-117.24
Load Node,DELMAR_6_N001,38.7988,-121.22
Load Node,DELMAR_6_N010,32.9808,-117.26
Load Node,DELMAR_6_N011,32.9808,-117.26
Load Node,GONZALES_6_N001,36.5089,-121.45
Load Node,GONZALES_6_N003,36.5089,-121.45
Load Node,OCEANSDE_6_N001,33.1968,-117.38
Load Node,OCEANSDE_6_N002,33.1968,-117.38
Generation Node,HOLM1_7_B1,37.83,-119.99
Generation Node,HOLM2_7_B1,37.86,-120
Load Node,JENNY_1_N001,37.77,-122.26
Load Node,JENNY_1_N008,37.77,-122.26
Load Node,STATINJ_1_N001,37.7633,-122.21
Load Node,STATINJ_1_N012,37.7633,-122.21
Load Node,STATINJ_1_N027,37.77,-122.22
Generation Node,SNDBRJT_1_B1,38.19,-120.12
Load Node,ROSECYN_6_N001,32.8445,-117.24
Load Node,ROSECYN_6_N017,32.8445,-117.24
Load Node,DUNHILL_6_N001,32.9015,-117.23
Generation Node,CHSTN_115_B1,38.09,-120.3
Load Node,CHSTN_1_N001,38.09,-120.3
Generation Node,ELCAJNGT_7_B3,32.7954,-116.97
Load Node,ELCAJNGT_7_N001,32.7954,-116.97
Load Node,MIRAMAR_6_N001,32.894,-117.14
Load Node,MIRAMAR_6_N004,32.894,-117.14
Load Node,MIRAMAR_6_N017,32.894,-117.14
Load Node,BALFOUR_6_N001,37.926,-121.68
Load Node,FENTON_6_N001,32.895,-117.16
Load Node,ELCAJNGT_7_N004,32.7954,-116.97
Load Node,RIVRBANK_1_N001,37.7689,-120.91
Load Node,EDES_1_N001,37.7388,-122.19
Load Node,EDES_1_N003,37.7388,-122.19
Generation Node,MIRAMREF_7_B1,32.894,-117.14
Generation Node,EASTGATE_6_N004,32.885,-117.2
Load Node,EASTGATE_6_N101,32.885,-117.2
Load Node,EASTGATE_6_N201,32.885,-117.2
Load Node,MOROHILL_6_N001,33.2522,-117.3
Generation Node,DONNELLS_7_B1,38.24,-120.03
Load Node,OLETA_6_N001,38.4806,-120.84
Load Node,OLETA_6_N003,38.4806,-120.84
Generation Node,STANISLS_7_B1,38.15,-120.36
Generation Node,STANISLS_1_B1,38.14,-120.37
Load Node,STANISLS_1_N001,38.14,-120.37
Load Node,KYOCERA_6_N001,32.8198,-117.14
Load Node,SNTHLNE_6_N001,37.6224,-122.45
Load Node,SNTHLNE_6_N002,37.6224,-122.45
Load Node,PALA_6_N001,33.3559,-117.11
Load Node,MESAHGTS_6_N001,32.8296,-117.16
Load Node,MESAHGTS_6_N007,32.8296,-117.16
Generation Node,MESAHGTS_6_N011,32.8296,-117.16
Load Node,CLAIRMNT_6_N001,32.8259,-117.18
Load Node,CLAIRMNT_6_N008,32.8259,-117.18
Load Node,RVRBANK_1_N001,37.7689,-120.91
Load Node,RVRBANK_1_N005,37.7689,-120.91
Load Node,RSNTAFE_6_N001,33.0143,-117.2
Load Node,RSNTAFE_6_N008,33.0143,-117.2
Load Node,RSNTAFE_6_N009,33.0143,-117.2
Load Node,FORTRSS_6_N001,38.5396,-123.22
Load Node,MORMON_6_N001,37.9687,-121.19
Load Node,PLAINFLD_6_N001,38.6189,-121.79
Load Node,SANCRLS_6_N001,37.4997,-122.24
Load Node,SANCRLS_6_N002,37.4997,-122.24
Load Node,SANCRLS_6_N004,37.4997,-122.24
Load Node,SAUSALTO_6_N001,37.8634,-122.5
Load Node,SAUSALTO_6_N002,37.8634,-122.5
Load Node,CAMPHORA_6_N001,36.4683,-121.39
Load Node,CAMPHORA_6_N003,36.4683,-121.39
Load Node,DMTARSL_1_N001,37.7,-122.15
Load Node,CABRILLO_6_N001,32.7074,-117.25
Load Node,CABRILLO_6_N004,32.7074,-117.25
Generation Node,CABRILLO_6_N011,32.7074,-117.25
